armchair	7.58577	0.833787	-1.23337
bed	1.99102	4.65953	3.1791
bedroom	2.28812	3.20399	2.0911
bedroom_chest	2.94594	1.86583	0.00685893
bin_1	3.16618	3.13205	-0
bin_2	1.42497	2.42759	-0
bin_3	0.36502	1.7923	-0
bin_4	3	2	0
chair_1	7.06413	0.738874	-0.851905
chair_2	6.10686	0.90678	-1.59474
coat_hanger	1.87566	0.794178	2.57186
coffee_table	6.86204	0.866843	-1.54746
collection_zone	2.152	4.25257	-0
couch	5.16555	-0.730948	0.031537
desk	1.91224	-0.396981	-1.59845
dishwasher	4.91838	4.06781	1.61511
display_cabinet	5.90952	2.1503	0.00775602
door_1	1.60199	-0.0858609	3.13195
entrance	-0.260262	-0.00337022	0.014784
exit	6.93696	6.5696	1.53711
fridge	5.2675	4.93793	2.30891
island	5.88976	4.96569	1.64714
kitchen	5.50378	3.08757	0.472629
kitchen_cabinet	7.76608	4.34767	1.58703
kitchen_table	7.54721	3.80661	3.0801
living_room	5.29016	1.56238	-0.893628
office	1.9399	0.073307	0.0432682
safe	1.52939	0.536327	3.17943
shelf	3.05699	5.0814	0.0218552
shoe_rack	1.56664	-0.485793	-1.91547
sideboard	4.99325	1.96844	3.17082
sidetable	2.91584	3.94113	0.0165031
sink	5.00043	4.08381	3.23033
trash_bin	7.45676	3.34244	0.13549
trash_bin_1	7.69067	3.14836	-0.389488
trash_bin_2	4.5106	0.948668	2.30983
trash_zone	5.99917	6.50161	3.153
tv	7.60331	1.24813	1.42976
