bar	6.1032	2.61383	3.2484
bedroom	4.85825	1.62299	1.65752
bin_bedroom	7.03393	2.18177	0.119913
bin_dining	7.03356	2.18142	0.119996
bin_kitchen	7.03441	2.18161	0.120072
bin_living	7.0336	2.18172	0.12008
blueBin	-1.40131	2.5467	3.25989
center_cubby	-0.975698	1.9987	0.0952151
chair_1	7.22545	3.71108	0.885124
chair_2	7.53742	2.89545	0.0410251
chair_3	7.67955	1.92797	-0.474535
dining_room	4.85802	1.62378	1.65729
dining_table	4.80302	1.6043	-0.0198342
door	-0.0900065	0.154376	-0.0178073
door_1	1.5528	0.731566	3.84882
garbage_bedroom	6.92586	3.67057	0.387509
garbage_dining	6.92769	3.67022	0.387505
garbage_kitchen	6.92772	3.67083	0.387186
garbage_living	6.9273	3.67098	0.387217
greenBin	-1.34544	1.88477	3.23851
initial_point	-1.14551	1.88108	-1.53454
kitchen	4.85713	1.62387	1.65631
kitchen_table	2.37234	0.754069	-1.45886
last_know_location	4.45734	3.14843	0.0788007
left_cubby	-0.900286	2.83091	0.123766
living_room	6.29287	2.57974	0.0489902
location2	6.52982	2.17257	0.0921478
location3	6.38519	3.29958	0.0277205
mug_location	-1.44847	3.64574	0.100191
objects_bin	6.77937	3.28846	0.210517
redBin	-1.4463	3.21955	3.24398
right_cubby	-0.966255	1.11009	0.101829
shelf	1.46821	1.3287	3.24113
trash_location	-0.204293	-0.00254709	3.18964
tray	-1.41981	4.07936	1.62447
trayLoc	-1.13349	3.1996	1.71971
yellowBin	-1.29428	1.2139	3.21866
